"","x"
"wages_3m_pct_6m_lag",0
"wages_9m_pct_9m_lag",0
"wages_24ma",0
"wages_raw",0
"saving_1m_pct",0
"saving_3m_pct",0
"saving_9m_pct",0
"saving_3m_pct_6m_lag",0
"saving_9m_pct_9m_lag",0
"saving_24ma",0
"saving_raw",0
"pce_1m_pct",0
"pce_3m_pct",0
"pce_9m_pct",0
"pce_3m_pct_6m_lag",0
"pce_9m_pct_9m_lag",7.36820025957311e-05
"pce_24ma",0
"pce_raw",0
"unemp_1m_pct",0
"unemp_3m_pct",0
"unemp_9m_pct",0
"unemp_3m_pct_6m_lag",0
"unemp_9m_pct_9m_lag",0
"unemp_24ma",0
"unemp_raw",0
"i_claims_1m_pct",0
"i_claims_3m_pct",0
"i_claims_9m_pct",0
"i_claims_3m_pct_6m_lag",0
"i_claims_9m_pct_9m_lag",0
"i_claims_24ma",0
"i_claims_raw",0
"c_claims_1m_pct",0
"c_claims_3m_pct",0
"c_claims_9m_pct",0
"c_claims_3m_pct_6m_lag",0
"c_claims_9m_pct_9m_lag",0
"c_claims_24ma",0
"c_claims_raw",0
"job_open_1m_pct",0
"job_open_3m_pct",0
"job_open_9m_pct",0
"job_open_3m_pct_6m_lag",0
"job_open_9m_pct_9m_lag",0
"job_open_24ma",0
"job_open_raw",0
"sticky_1m_pct",0
"sticky_3m_pct",0
"sticky_9m_pct",0
"sticky_3m_pct_6m_lag",0
"sticky_9m_pct_9m_lag",0
"sticky_24ma",0
"sticky_raw",0.000296172690934176
"ppi_1m_pct",0
"ppi_3m_pct",0
"ppi_9m_pct",0.000294409156673204
"ppi_3m_pct_6m_lag",0
"ppi_9m_pct_9m_lag",8.57244505170407e-05
"ppi_24ma",0
"ppi_raw",0
"copper_1m_pct",0
"copper_3m_pct",0
"copper_9m_pct",0
"copper_3m_pct_6m_lag",0
"copper_9m_pct_9m_lag",0
"copper_24ma",0
"copper_raw",0
"wheat_1m_pct",0
"wheat_3m_pct",0
"wheat_9m_pct",0
"wheat_3m_pct_6m_lag",0
"wheat_9m_pct_9m_lag",0
"wheat_24ma",0
"wheat_raw",0
"housing_1m_pct",0
"housing_3m_pct",0
"housing_9m_pct",0
"housing_3m_pct_6m_lag",0
"housing_9m_pct_9m_lag",0
"housing_24ma",0
"housing_raw",0
"fuel_1m_pct",0
"fuel_3m_pct",0
"fuel_9m_pct",0
"fuel_3m_pct_6m_lag",0
"fuel_9m_pct_9m_lag",0
"fuel_24ma",0
"fuel_raw",0
"gov_s_1m_pct",0
"gov_s_3m_pct",0
"gov_s_9m_pct",0
"gov_s_3m_pct_6m_lag",0
"gov_s_9m_pct_9m_lag",0
"gov_s_24ma",0
"gov_s_raw",0
"cur_acc_1m_pct",0
"cur_acc_3m_pct",0
"cur_acc_9m_pct",0
"cur_acc_3m_pct_6m_lag",0
"cur_acc_9m_pct_9m_lag",0
"cur_acc_24ma",0
"cur_acc_raw",0
"trades_1m_pct",0
"trades_3m_pct",0
"trades_9m_pct",0
"trades_3m_pct_6m_lag",0
"trades_9m_pct_9m_lag",0
"trades_24ma",0
"trades_raw",0
"taxes_1m_pct",0
"taxes_3m_pct",0
"taxes_9m_pct",0
"taxes_3m_pct_6m_lag",0
"taxes_9m_pct_9m_lag",0
"taxes_24ma",0
"taxes_raw",0
"gdp_1m_pct",0
"gdp_3m_pct",0
"gdp_9m_pct",0
"gdp_3m_pct_6m_lag",0.000102313621795053
"gdp_9m_pct_9m_lag",0
"gdp_24ma",0
"gdp_raw",0
